hash,type,name
b19c1654d259f9be,target,gwas_files_run_meta_linear_run_gwas_linear_LDL_start_Drug_1
d968080b69fa6404,target,GWAS_input
239f13bd2c1be4ec,import,gwas_interaction_script
239f13bd2c1be4ec,target,gwas_interaction_track
0eccd65be809a6ee,import,gwas_linear_script
0eccd65be809a6ee,target,gwas_linear_track
a243fab17081d08f,target,id_code
1441392fc4084b5f,import,inter_variable
ac50049e61e97d19,target,interaction_gwas_info
4504214ca01e0420,target,interaction_out
7498aea7d0d60976,target,interaction_out_3
0e410019234f6922,target,interaction_out_all
d53ea618baa03ec8,target,interaction_out_bmi_change_all
ab0c7e97b76e802c,target,interaction_out_bmi_change_olanz_cloz
60a7331785e14f3b,target,interaction_out_bmi_change_valproate
db8cd42f7d0cb27c,target,interaction_out_olanz_cloz
db2027a29e986dfa,target,interaction_out_valproate
97a0f9065ab11463,import,leeway_time
c913895c2e6b2baa,target,linear_covar
eec83a665d84bf07,target,linear_meta_jobs
bc5afb56ae1bbd74,target,linear_out_BMI
8e6fd3d38c2bbcd0,target,linear_out_bmi_change_all
079ddc628aaf0a81,target,linear_out_bmi_change_olanz_cloz
0925815cf97391bd,target,linear_out_bmi_change_valproate
b3eb2078276197d7,target,linear_out_BMI_start_Drug_1
2360717d2c2a5c1c,target,linear_out_Creatinine
5e943b966686b00d,target,linear_out_Creatinine_start_Drug_1
b3a778f76289eaa7,target,linear_out_Glucose
8312d27b7d15cb53,target,linear_out_Glucose_start_Drug_1
bcd62a033fe1eab3,target,linear_out_LDL
e8af8a29e5e83a4e,target,linear_out_LDL_start_Drug_1
d786a62247cfc1a9,target,linear_pheno
02d4b577abb2ff82,import,low_inducers
8271c9325d9ef093,target,make_dirs_out
c5bc911e5a21198a,import,meta_interaction
eec83a665d84bf07,target,meta_jobs
7630bd3ec11896a4,import,meta_linear
e018705352803a7c,import,min_follow_up
053dd8ddc1900ee6,target,mk_reprt_folder
45d8a46ac51139fe,import,munge_fam
834e4cb83909eeb1,import,munge_pheno
9da227339fd48af6,import,munge_pheno_follow
0e3d19e9ef2a4004,import,munge_qc_pheno
b105e8acc8917d80,import,dplyr::bind_rows
a64e8d3863a8aab3,import,dplyr::distinct
ad27dc26f0ff4d3b,import,dplyr::do
57fab5394f942153,import,dplyr::pull
2a11f64963b9fab8,import,dplyr::recode
4fb84a2d95524366,import,dplyr::rename
8e3c01e9e6d731fb,import,dplyr::slice
36f9439f5abf9401,import,dplyr::select
ce23903895251de5,import,processx::run
5466abe30ae4a1f4,import,readr::read_delim
b65ebc21cb7c72ae,import,tidyr::separate
c85d88fc56f4e042,target,out_dups
c85d88fc56f4e042,target,out_dups_set
c85d88fc56f4e042,target,out_eth
c85d88fc56f4e042,target,out_linear_covar
c85d88fc56f4e042,target,out_linear_pheno
c85d88fc56f4e042,target,out_rs_conversion
c85d88fc56f4e042,target,out_sex
f6e4233128a24b84,target,file analysis/GWAS
eb5bb32babe651e7,target,file analysis/QC/03_missingness
869282f5500d7bbf,target,file analysis/QC/00_preprocessing
108b321a69aa140b,target,file analysis/QC/01_strandflip
a7b2668b95de8174,target,file analysis/QC/02_maf_zero
5d7b8c707d767dbe,target,file analysis/QC/04_sexcheck
3ea8d2dc9b9879ac,import,file analysis/QC/15_final_processing/FULL/PSYMETAB_GWAS.FULL
68b94ec0395a4962,import,file analysis/QC/15_final_processing/FULL/PSYMETAB_GWAS.FULL.sample
29c447d57abb7ea1,target,file analysis/QC/15_final_processing/FULL/PSYMETAB_GWAS.FULL_nosex.sample
77afc24840da80ff,import,file code/GWAS_interaction.sh
1e2dc81d068304b3,import,file code/GWAS.sh
a5a1019a2de303ab,import,file code/check_imputation.sh
d2aa390147155dd1,import,file code/download_imputation.sh
75ab9e3fb4272d8a,import,file code/final_processing.sh
63e04adec0988fa1,import,file code/post_imputation_qc.sh
ca06406eba5ca109,target,file data/processed/PLINK_091019_0920
3ea8d2dc9b9879ac,import,file data/processed/PLINK_091019_0920/PSYMETAB_GWAS
7ecd03a91b027793,target,file data/processed/PLINK_091019_0920/PSYMETAB_GWAS.fam
230d94189bc8a879,target,file data/processed/phenotype_data/GWAS_input
339d5bfcbce740d3,import,file data/processed/phenotype_data/GWAS_input/covar_input.txt
d4322e12ff89c756,target,file data/processed/phenotype_data/GWAS_input/linear_pheno_input.txt
2557c86546dfc3ba,target,file data/processed/phenotype_data/GWAS_input/linear_covar_input.txt
098a6bc8e815227c,import,file data/processed/phenotype_data/GWAS_input/pheno_input.txt
ff52bee6dad747ad,import,file data/processed/phenotype_data/PSYMETAB_GWAS_dupIDs.txt
47925eddbdf45a33,import,file data/processed/phenotype_data/PSYMETAB_GWAS_dupIDs_set.txt
eadc38e17ed253f0,import,file data/processed/phenotype_data/PSYMETAB_GWAS_eth.txt
e5a10883986d6945,target,file data/processed/phenotype_data/PSYMETAB_GWAS_inferred_eths.txt
c9349aed10c108ff,import,file data/processed/phenotype_data/PSYMETAB_GWAS_sex.txt
e5a10883986d6945,target,file data/processed/phenotype_data/PSYMETAB_inferred_eths.txt
6b622ac38833d4bc,import,file data/processed/reference_files/rsid_conversion.txt
b8afdea77618d50d,import,file data/raw/ID_key.csv
5865ddf868d6054d,import,file data/raw/PLINK_091019_0920
84309717649d34ea,import,file data/raw/phenotype_data/PHENO_GWAS_241019_noaccent.csv
79d7bc573bef0444,import,file data/raw/phenotype_data/QC_sex_eth.xlsx
676c5546c6c59247,import,file data/raw/reference_files/GSAMD-24v2-0_20024620_A1_b151_rsids.txt
53c929a792fdf885,import,pc_dir
ba519d0bfcc30de4,target,pc_raw
2a9d9390e2fa471d,target,ped_folder
3d3cdfb6f84bf6e4,target,pheno_baseline
c85d88fc56f4e042,target,pheno_eths_out
a1064560f24ee253,target,pheno_followup
ddff0c9c653288d2,target,pheno_followup_split
f4182b19000942d4,target,pheno_munge
88e6058cc786177e,target,pheno_raw
5680d38fdd768793,import,plink_bed_out
8fae322d75399b77,import,plink_ped_raw
a3c8a1219204da39,import,post_imputation_script
2cae591a7e8baca8,import,pre_imputation_script
773b8013fcd29e8a,target,qc_pheno_munge
be07e25d068e4d58,target,qc_pheno_raw
9531941f4a603f5f,import,read_fam
df0f6c952951a992,import,read_pcs
1f7e0b5c76007012,import,rename_meds
e5c5a7a49e6a5768,target,rs_conversion
7d4c03b4cf0be27a,target,rs_conversion_munge
8b0c57dcb9c9ff6e,import,rsconv_raw_file
bb7061c127fbd412,target,run_check_imputation
8271c9325d9ef093,import,run_final_processing
93b18e4d5d4909a5,import,run_gwas
9a7c48540c641ab5,import,run_gwas_interaction
bb7061c127fbd412,target,run_gwas_interaction_all_high_inducers
bb7061c127fbd412,target,run_gwas_interaction_olanzapine_clozapine
bb7061c127fbd412,target,run_gwas_interaction_valproate
bb7061c127fbd412,target,run_gwas_linear_BMI_start_Drug_1
bb7061c127fbd412,target,run_gwas_linear_Creatinine_start_Drug_1
bb7061c127fbd412,target,run_gwas_linear_Glucose_start_Drug_1
bb7061c127fbd412,target,run_gwas_linear_LDL_start_Drug_1
c85d88fc56f4e042,target,run_meta_interaction_all_high_inducers
c85d88fc56f4e042,target,run_meta_interaction_olanzapine_clozapine
c85d88fc56f4e042,target,run_meta_interaction_run_gwas_interaction_all_high_inducers
c85d88fc56f4e042,target,run_meta_interaction_run_gwas_interaction_olanzapine_clozapine
c85d88fc56f4e042,target,run_meta_interaction_run_gwas_interaction_valproate
c85d88fc56f4e042,target,run_meta_interaction_valproate
37781fe000d1eb5b,target,run_meta_linear_BMI_start_Drug_1
37781fe000d1eb5b,target,run_meta_linear_Creatinine_start_Drug_1
37781fe000d1eb5b,target,run_meta_linear_Glucose_start_Drug_1
37781fe000d1eb5b,target,run_meta_linear_LDL_start_Drug_1
8f36bddd09b3d472,target,run_meta_linear_run_gwas_linear_BMI_start_Drug_1
7e2f33c94484026e,target,run_meta_linear_run_gwas_linear_Creatinine_start_Drug_1
0947d2b3d292394c,target,run_meta_linear_run_gwas_linear_Glucose_start_Drug_1
92c0b7e1bc08f845,target,run_meta_linear_run_gwas_linear_LDL_start_Drug_1
bb7061c127fbd412,target,run_post_imputation
9f261f5368010b85,target,run_pre_imputation
7f51f0b411d541dd,target,sex_format
c8302338e071d098,target,sex_info
29d7232657494462,import,split_followup
d1adf989812766ba,import,standard_covars
9c8dddb882b21adc,import,study_name
bebc962d7427020e,target,subgroup_gwas_info
ecf3229b65846462,target,subgroup_out_all
5062a71f6dc7d333,target,subgroup_out_c.bmi_change_all..high_inducer_all.
ba808413135cfb69,target,subgroup_out_c.bmi_change_olanz_cloz..high_inducer_olanz_cloz.
6ba0842f2d809b48,target,subgroup_out_c.bmi_change_valproate..high_inducer_valproate.
d069e0d92e91333d,target,subgroup_out_high_inducer_all
ea9db04f9c39cacc,target,subgroup_out_high_inducer_olanz_cloz
927fb6e6632f0e54,target,subgroup_out_high_inducer_valproate
3b7609283ac8b689,target,subgroup_out_olanz_cloz
4df8348d8a75b401,target,subgroup_out_valproate
87f08188801da320,import,test_drugs
35b0f5e13aa8f431,import,write_followup_data
a4f076b3db622faf,import,x
00e9576b98f38f4b,target,y
